No.,Name,Formula,CAS no.,molecular-weight,critical-temperature,critical-pressure,critical-molar-volume,critical-compressibility-factor,acentric-factor,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
-,-,-,-,MW,Tc,Pc,Vc,Zc,AcFa,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,K,MPa,m3/kmol,-,-,kJ/mol,kJ/mol,J/mol.K,kJ/mol
116,Dimethylsilane,C2H8Si,1111-74-6,60.17,402,3.56,0.258,0.275,0.13,-94.7,-19.25,299.53,-25.69
117,Dimethyl sulfide,C2H6S,75-18-3,62.134,503.04,5.53,0.201,0.266,0.1943,-37.24,7.302,285.85,-17.443
118,Dimethyl sulfoxide,C2H6OS,67-68-5,78.133,729,5.65,0.227,0.212,0.2806,-150.46,-81.441,306.27,-16.054
119,Dimethyl terephthalate,C10H10O4,120-61-6,194.184,772,2.78,0.529,0.229,0.6371,-644,-474,550,-44.115
120,"1,4-Dioxane",C4H8O2,123-91-1,88.105,587,5.208,0.238,0.254,0.2793,-315.8,-181.6,300.12,-21.863
121,Diphenyl ether,C12H10O,101-84-8,170.207,766.8,3.08,0.503,0.243,0.4389,52,175,413,-58.939
122,Dipropyl amine,C6H15N,142-84-7,101.19,550,3.14,0.402,0.276,0.4497,-116,86.8,429,-40.189
123,Dodecane,C12H26,112-40-3,170.335,658,1.82,0.755,0.251,0.5764,-290.72,49.81,624.15,-75.1368
124,Eicosane,C20H42,112-95-8,282.547,768,1.16,1.34,0.243,0.9069,-456.46,115.7,937.87,-123.908
125,Ethane,C2H6,74-84-0,30.069,305.32,4.872,0.1455,0.279,0.0995,-83.82,-31.92,229.12,-14.2864
126,Ethanol,C2H6O,64-17-5,46.068,514,6.137,0.168,0.241,0.6436,-234.95,-167.85,280.64,-12.35
127,Ethyl acetate,C4H8O2,141-78-6,88.105,523.3,3.88,0.286,0.255,0.3664,-444.5,-328,359.7,-20.61
128,Ethyl amine,C2H7N,1975-04-07,45.084,456.15,5.62,0.207,0.307,0.2848,-47.15,36.16,284.8,-15.874
129,Ethylbenzene,C8H10,100-41-4,106.165,617.15,3.609,0.374,0.263,0.3035,29.92,130.73,360.63,-43.448
130,Ethyl benzoate,C9H10O2,93-89-0,150.175,698,3.18,0.489,0.268,0.4771,-326,-190.5,455,-44.1
131,2-Ethyl butanoic acid,C6H12O2,1988-09-05,116.158,655,3.41,0.389,0.244,0.6326,-537.8,-359,423,-32.1203
132,Ethyl butyrate,C6H12O2,105-54-4,116.158,571,2.95,0.403,0.25,0.4011,-485.5,-312.2,441.7,-32.84
133,Ethylcyclohexane,C8H16,1678-91-7,112.213,609.15,3.04,0.43,0.258,0.2455,-171.5,39.55,382.6,-48.7051
134,Ethylcyclopentane,C7H14,1640-89-7,98.186,569.5,3.4,0.375,0.269,0.2701,-126.9,44.8,378.3,-42.839
135,Ethylene,C2H4,74-85-1,28.053,282.34,5.041,0.131,0.281,0.0862,52.51,68.44,219.2,-13.23
136,Ethylenediamine,C2H8N2,107-15-3,60.098,593,6.29,0.264,0.337,0.4724,-17.3,103,321.833,-16.91
137,Ethylene glycol,C2H6O2,107-21-1,62.068,720,8.2,0.191,0.262,0.5068,-392.2,-301.8,304.891,-10.527
138,Ethyleneimine,C2H5N,151-56-4,43.068,537,6.85,0.173,0.265,0.2007,123.428,177.987,250.62,-14.81
